id;time_start;time_end;act;prev_act;next_act;contract_start;contract_end;V01;V02;V03;V04;V05;V06;V07;V08;V09;V10;V11
49;2019-09-30;2020-12-31;func_255;none;func_105;2019-09-16;2099-12-31;cat_4;cat_04;cat_138;cat_2;cat_01;cat_1;cat_4;0.04;1;0.33;0.1437908
49;2021-01-31;2021-12-31;func_105;func_255;none;2019-09-16;2099-12-31;cat_4;cat_04;cat_138;cat_2;cat_01;cat_1;cat_4;0.08;1;0.33;0.3267974
50;2017-09-30;2019-08-31;func_255;none;func_177;2017-09-11;2099-12-31;cat_2;cat_08;cat_400;cat_2;cat_01;cat_4;cat_4;0.08;1;0.33;0.1468974
50;2019-09-30;2021-12-31;func_177;func_255;none;2017-09-11;2099-12-31;cat_2;cat_08;cat_400;cat_2;cat_01;cat_4;cat_4;0.16;1;0.33;0.1706928
51;2019-09-30;2020-12-31;func_255;none;func_174;2019-09-16;2099-12-31;cat_2;cat_10;cat_145;cat_2;cat_01;cat_1;cat_3;0.04;1;0.33;0.1437908
51;2021-01-31;2021-12-31;func_174;func_255;none;2019-09-16;2099-12-31;cat_2;cat_10;cat_145;cat_2;cat_01;cat_1;cat_3;0.08;1;0.33;0.1517549
52;2017-09-30;2019-03-31;func_255;none;func_175;2017-09-11;2019-03-31;cat_4;cat_04;cat_204;cat_1;cat_01;cat_4;cat_3;0.08;1;0.33;0.1468974
52;2019-04-30;2021-02-28;func_175;func_255;leave;2019-04-01;2021-02-28;cat_8;cat_02;cat_211;cat_1;cat_01;cat_4;cat_4;0.08;1;0.42;0.1772451
52;2021-02-28;2021-02-28;leave;func_175;none;2019-04-01;2021-02-28;cat_8;cat_02;cat_211;cat_1;cat_01;cat_4;cat_4;0.08;1;0.42;0.1772451
53;2019-09-30;2020-12-31;func_255;none;func_105;2019-09-16;2099-12-31;cat_4;cat_04;cat_089;cat_2;cat_01;cat_4;cat_3;0.04;1;0.33;0.1437908
53;2021-01-31;2021-12-31;func_105;func_255;none;2019-09-16;2099-12-31;cat_4;cat_04;cat_089;cat_2;cat_01;cat_4;cat_3;0.08;1;0.33;0.1633987
54;2017-08-31;2019-02-28;func_155;none;func_187;2017-08-16;2022-02-27;cat_3;cat_17;cat_427;cat_1;cat_01;cat_4;cat_3;0.08;1;0.33;0.1414739
54;2019-03-31;2021-12-31;func_187;func_155;none;2017-08-16;2022-02-27;cat_3;cat_17;cat_427;cat_1;cat_01;cat_4;cat_3;0.16;1;0.42;0.1593235
55;2020-03-31;2021-12-31;func_105;none;none;2020-03-01;2099-12-31;cat_4;cat_04;cat_451;cat_2;cat_01;cat_1;cat_3;0.04;1;0.33;0.1633987
56;2021-09-30;2021-12-31;func_216;none;none;2021-09-01;2099-12-31;cat_2;cat_18;cat_278;cat_2;cat_01;cat_4;cat_3;0;1;0.33;0.1732026
57;2017-09-30;2018-03-31;func_255;none;leave;2017-09-11;2018-03-04;cat_2;cat_09;cat_197;cat_2;cat_01;cat_4;cat_3;0.04;1;0.33;0.1372549
57;2018-03-31;2018-03-31;leave;func_255;none;2017-09-11;2018-03-04;cat_2;cat_09;cat_197;cat_2;cat_01;cat_4;cat_3;0.04;1;0.33;0.1372549
58;2017-09-30;2019-08-31;func_255;none;func_105;2018-09-17;2099-12-31;cat_4;cat_04;cat_100;cat_2;cat_01;cat_4;cat_4;0.04;1;0.33;0.1468974
58;2019-09-30;2021-02-28;func_105;func_255;func_210;2018-09-17;2099-12-31;cat_4;cat_04;cat_100;cat_2;cat_01;cat_4;cat_4;0.12;1;0.33;0.154881
58;2021-03-31;2021-12-31;func_210;func_105;none;2018-09-17;2099-12-31;cat_4;cat_04;cat_100;cat_2;cat_01;cat_4;cat_4;0.12;1;0.42;0.1764706
59;2018-09-30;2020-08-31;func_255;none;func_105;2018-09-17;2022-07-31;cat_4;cat_04;cat_372;cat_2;cat_01;cat_1;cat_3;0.08;1;0.33;0.1449412
59;2020-09-30;2021-11-30;func_105;func_255;leave;2018-09-17;2022-07-31;cat_4;cat_04;cat_372;cat_2;cat_01;cat_1;cat_3;0.12;1;0.33;0.1633987
59;2021-11-30;2021-11-30;leave;func_105;none;2018-09-17;2022-07-31;cat_4;cat_04;cat_372;cat_2;cat_01;cat_1;cat_3;0.12;1;0.33;0.1633987
60;2020-03-31;2021-12-31;func_105;none;none;2020-03-01;2022-01-31;cat_4;cat_04;cat_120;cat_2;cat_01;cat_4;cat_3;0.04;1;0.33;0.1633987
61;2018-10-31;2021-12-31;func_155;none;none;2018-10-15;2022-02-06;cat_3;cat_02;cat_085;cat_2;cat_01;cat_3;cat_3;0.12;1;0.33;0.1530124
62;2019-06-30;2021-12-31;func_177;none;none;2019-06-17;2099-12-31;cat_2;cat_04;cat_163;cat_2;cat_01;cat_4;cat_3;0.08;1;0.33;0.1749667
63;2017-09-30;2019-08-31;func_255;none;func_177;2017-09-11;2099-12-31;cat_2;cat_09;cat_265;cat_2;cat_01;cat_4;cat_3;0.08;1;0.33;0.1468974
63;2019-09-30;2021-12-31;func_177;func_255;none;2017-09-11;2099-12-31;cat_2;cat_09;cat_265;cat_2;cat_01;cat_4;cat_3;0.16;1;0.33;0.170915
64;2019-09-30;2020-12-31;func_255;none;func_177;2019-09-16;2099-12-31;cat_2;cat_04;cat_181;cat_2;cat_01;cat_4;cat_3;0.04;1;0.33;0.1437908
64;2021-01-31;2021-12-31;func_177;func_255;none;2019-09-16;2099-12-31;cat_2;cat_04;cat_181;cat_2;cat_01;cat_4;cat_3;0.08;1;0.33;0.1616523
65;2021-08-31;2021-12-31;func_155;none;none;2021-08-01;2099-12-31;cat_3;cat_05;cat_426;cat_1;cat_01;cat_1;cat_3;0;1;0.33;0.1535948
66;2020-03-31;2021-12-31;func_024;none;none;2020-03-01;2099-12-31;cat_7;cat_04;cat_215;cat_2;cat_01;cat_4;cat_3;0.04;1;0.33;0.1665542
67;2021-08-31;2021-12-31;func_216;none;none;2021-08-01;2099-12-31;cat_2;cat_04;cat_165;cat_2;cat_01;cat_4;cat_3;0;1;0.33;0.1666667
68;2017-09-30;2021-02-28;func_177;none;func_007;2017-09-01;2099-12-31;cat_2;cat_04;cat_266;cat_2;cat_01;cat_4;cat_4;0.16;1;0.33;0.1748758
68;2021-03-31;2021-12-31;func_007;func_177;none;2017-09-01;2099-12-31;cat_2;cat_04;cat_266;cat_2;cat_01;cat_4;cat_4;0.16;1;0.42;0.1846405
69;2019-09-30;2020-12-31;func_255;none;func_177;2019-09-16;2099-12-31;cat_2;cat_04;cat_224;cat_2;cat_01;cat_1;cat_4;0.04;1;0.33;0.1437908
69;2021-01-31;2021-12-31;func_177;func_255;none;2019-09-16;2099-12-31;cat_2;cat_04;cat_224;cat_2;cat_01;cat_1;cat_4;0.08;1;0.33;0.1699346
70;2018-10-31;2020-10-31;func_255;none;func_155;2018-10-15;2021-09-30;cat_3;cat_02;cat_089;cat_2;cat_01;cat_4;cat_3;0.08;1;0.33;0.1449412
70;2020-11-30;2021-09-30;func_155;func_255;leave;2018-10-15;2021-09-30;cat_3;cat_02;cat_089;cat_2;cat_01;cat_4;cat_3;0.12;1;0.33;0.1652085
70;2021-09-30;2021-09-30;leave;func_155;none;2018-10-15;2021-09-30;cat_3;cat_02;cat_089;cat_2;cat_01;cat_4;cat_3;0.12;1;0.33;0.1652085
71;2021-10-31;2021-12-31;func_229;none;none;2021-10-01;2099-12-31;cat_4;cat_04;cat_164;cat_2;cat_01;cat_4;cat_3;0;1;0.33;0.1732026
72;2016-11-30;2019-02-28;func_155;none;func_187;2016-11-04;2099-12-31;cat_3;cat_09;cat_227;cat_2;cat_01;cat_4;cat_3;0.12;1;0.33;0.1462765
72;2019-03-31;2021-12-31;func_187;func_155;none;2016-11-04;2099-12-31;cat_3;cat_09;cat_227;cat_2;cat_01;cat_4;cat_3;0.2;1;0.42;0.162785
73;2021-10-31;2021-12-31;func_105;none;none;2021-10-01;2099-12-31;cat_4;cat_04;cat_408;cat_2;cat_01;cat_1;cat_3;0;1;0.33;0.1633987
74;2018-09-30;2020-07-31;func_255;none;func_177;2018-09-17;2099-12-31;cat_2;cat_06;cat_107;cat_2;cat_03;cat_4;cat_3;0.08;1;0.33;0.1449412
74;2020-11-30;2021-12-31;func_177;func_255;none;2018-09-17;2099-12-31;cat_2;cat_06;cat_107;cat_2;cat_03;cat_4;cat_4;0.12;1;0.33;0.1652085
75;2018-11-30;2020-08-31;func_255;none;func_105;2018-09-17;2099-12-31;cat_4;cat_04;cat_078;cat_2;cat_01;cat_4;cat_3;0.08;1;0.33;0.1449412
75;2020-09-30;2021-12-31;func_105;func_255;none;2018-09-17;2099-12-31;cat_4;cat_04;cat_078;cat_2;cat_01;cat_4;cat_3;0.12;1;0.33;0.1633987
76;2018-10-31;2020-10-31;func_255;none;func_155;2018-10-15;2022-03-06;cat_3;cat_02;cat_103;cat_2;cat_01;cat_1;cat_4;0.08;1;0.33;0.1449412
